Unnamed: 0,Esc. Medio,Lím. Alto,Lím. Bajo
2021-01-01,10226.018988502703,10588.455181368803,9876.36918257408
2021-02-01,10226.018988502703,10588.455181368803,9876.36918257408
2021-03-01,10226.018988502703,10588.455181368803,9876.36918257408
2021-04-01,10226.018988502703,10588.455181368803,9876.36918257408
2021-05-01,10226.018988502703,10588.455181368803,9876.36918257408
2021-06-01,10237.164081408286,10599.600274274386,9887.514275479663
2021-07-01,10493.836866641197,10865.693285468078,10135.099170916184
2021-08-01,10565.100568130214,10939.655937896481,10203.759137759647
2021-09-01,10592.154182773786,10967.499865655302,10230.05032074543
2021-10-01,10703.10953577011,11082.804428795402,10336.809899388516
2021-11-01,10742.324540555208,11122.938505980605,10375.13825572995
2021-12-01,10812.210645334848,11195.655943657319,10442.292914209615
2022-01-01,10793.35201499208,11171.677959689185,10428.373031808753
2022-02-01,10708.204291177879,11083.586860904381,10346.064843635593
2022-03-01,10782.772894124286,11161.514473108642,10417.392939816289
2022-04-01,10645.189464945075,11018.74823252792,10284.80947762816
2022-05-01,10669.462407443027,11043.336709670157,10308.778017228968
2022-06-01,10645.4348466117,11018.356238517032,10285.66974899491
2022-07-01,10776.415811602517,11154.146998503817,10412.010603753915
2022-08-01,10896.923746863784,11279.14445055473,10528.18740789442
2022-09-01,10920.083285110011,11302.907734960434,10550.764499542745
2022-10-01,11014.843422885622,11401.336394773329,10641.98553707498
2022-11-01,11051.18493485256,11438.479815400473,10677.553430918413
2022-12-01,11116.0910936563,11506.189154711637,10739.755302623635
2023-01-01,11147.156107221635,11534.089205384646,10773.873622351146
2023-02-01,11000.30700539767,11381.887032899125,10632.188740201644
2023-03-01,11081.25554186721,11466.465512878136,10709.63539394368
2023-04-01,10976.536397348436,11357.785593941197,10608.737291677027
2023-05-01,11021.164829327145,11403.41121309204,10652.403716251194
2023-06-01,10982.542130554602,11363.384779383798,10615.13523004766
2023-07-01,11066.926507210235,11450.860431308874,10696.537388538252
2023-08-01,11175.257913747453,11563.216292406407,10800.986319253021
2023-09-01,11196.503719232733,11584.95686422418,10821.754813267919
2023-10-01,11296.061714349562,11688.254623480605,10917.704979389286
2023-11-01,11330.13447311319,11723.062701755556,10951.06835997962
2023-12-01,11374.473954527957,11769.603348573912,10993.284330908044
2024-01-01,11388.362755465498,11780.677991087354,11009.888009570841
2024-02-01,11269.595248537009,11657.434214821002,10895.4388536682
2024-03-01,11296.674945247476,11686.199580561999,10920.892350068141
2024-04-01,11239.992539918385,11627.332861244995,10866.317198310837
2024-05-01,11285.976183398125,11674.315604793475,10911.336988974508
2024-06-01,11232.243981977881,11618.72106440329,10859.401425065173
2024-07-01,11332.233445234728,11722.359280407727,10955.870859927536
2024-08-01,11423.164272092648,11816.644894963,11043.565252647808
2024-09-01,11433.309432801841,11826.853190767888,11053.649505604433
2024-10-01,11546.86709660213,11944.576716746653,11163.188274683665
2024-11-01,11573.720090745956,11971.954882498705,11189.53462474914
2024-12-01,11617.991201593744,12018.528772804435,11231.584195898593
2025-01-01,11640.287099374376,12038.200560236304,11256.411628035452
2025-02-01,11496.892782626168,11889.321332110827,11118.308720468629
2025-03-01,11548.9216222904,11943.938110910427,11167.84092090574
2025-04-01,11479.134989279399,11871.510025362055,11100.602552624481
2025-05-01,11539.869461639557,11933.753929245695,11159.880844697911
2025-06-01,11477.427632303521,11869.197216722474,11099.479287582246
2025-07-01,11583.65786527255,11979.278872733536,11201.993971867938
2025-08-01,11656.970023695845,12055.288683565519,11272.703648365514
2025-09-01,11672.077749724565,12070.620144266606,11287.595532857677
2025-10-01,11788.72269583589,12191.443884660934,11400.20910837515
2025-11-01,11806.045601405094,12208.972795524227,11417.333276311314
2025-12-01,11852.830302202443,12258.249177601188,11461.714199856278
2026-01-01,11841.158084971295,12246.746098490048,11449.878811529088
2026-02-01,11691.815730370217,12091.703741355568,11306.035369064339
2026-03-01,11752.43300855087,12155.12577814305,11363.946837720841
2026-04-01,11682.991986872028,12083.074669721918,11297.023821530584
2026-05-01,11731.88001868856,12133.104942120599,11344.809909872005
2026-06-01,11685.057392227676,12084.742403220918,11299.472869276911
2026-07-01,11787.97384291008,12191.37562709237,11398.803670816624
2026-08-01,11860.89944194657,12266.968416352476,11469.156175437
2026-09-01,11878.016825285735,12284.413146206862,11485.957760719095
2026-10-01,11994.323655577064,12404.851238400695,11598.279075902155
2026-11-01,12010.385313656663,12421.139539455653,11614.12208674423
2026-12-01,12059.240510774753,12472.502718017298,11660.557781499496
2027-01-01,11974.102956741397,12384.605822443384,11578.082222192765
2027-02-01,11830.668503800647,12235.701332310986,11439.924828994192
2027-03-01,11888.226789420096,12295.863954053755,11494.970656867932
2027-04-01,11820.395548555793,12225.49341435813,11429.589130908049
2027-05-01,11849.046432375251,12254.616537956212,11457.784435096675
2027-06-01,11813.356927011784,12217.78622027124,11423.195495335282
2027-07-01,11910.95805145666,12318.897217059204,11517.4105722282
2027-08-01,12000.844971328406,12412.048319427335,11604.148466702261
2027-09-01,12015.734590462538,12427.215740801299,11618.770084182153
2027-10-01,12124.428444280627,12539.737730174746,11723.770855244311
2027-11-01,12151.518301364507,12567.504544517933,11750.207637444948
2027-12-01,12206.981177273428,12625.652269484384,11803.080383089866
2028-01-01,12213.10747947051,12628.343421576823,11812.520646726405
2028-02-01,12094.650593433673,12505.298075411782,11698.49034452672
2028-03-01,12140.981350981456,12553.783902177707,11742.742061546214
2028-04-01,12051.893412268735,12461.389909248155,11656.843542759147
2028-05-01,12100.23296417051,12510.930723565487,11704.024211583743
2028-06-01,12061.092422674159,12470.516191549692,11666.11271549358
2028-07-01,12147.166128425935,12559.632447772286,11749.25120891671
2028-08-01,12245.754704124802,12661.811918504873,11844.375572772595
2028-09-01,12261.276111717694,12677.623599132094,11859.616947873934
2028-10-01,12377.469232990643,12797.812015555011,11971.955724019901
2028-11-01,12411.297409092927,12832.52482151745,12004.93047912006
2028-12-01,12451.974261053001,12875.387621299775,12043.49850131406
2029-01-01,12382.554388836352,12803.246578518801,11976.703799481716
2029-02-01,12239.898692845218,12655.159637060287,11839.28774004179
2029-03-01,12291.80606051618,12709.360661012432,11888.982369334613
2029-04-01,12212.349804945625,12626.950781897796,11812.375536419135
2029-05-01,12251.724125731904,12667.243930212044,11850.863444995044
2029-06-01,12206.80986184756,12620.838746205347,11807.387503060045
2029-07-01,12296.323735357488,12713.518556162498,11893.847131198945
2029-08-01,12396.145300153994,12816.96077996573,11990.175770222715
2029-09-01,12405.458217561856,12826.361542514607,11999.403941578406
2029-10-01,12528.498345667287,12953.61640919068,12118.378022880923
2029-11-01,12558.996937669379,12984.903673093726,12148.115766539118
2029-12-01,12601.529278942124,13029.646675019547,12188.51543705895
2030-01-01,12539.49010213415,12965.01363457657,12128.9786149673
2030-02-01,12392.243417460979,12812.194938858634,11987.107366353719
2030-03-01,12451.468645576186,12873.930461360751,12043.910860761083
2030-04-01,12366.410986114714,12785.716544474126,11961.898109114802
2030-05-01,12414.326556752774,12834.873124853058,12008.616451596312
2030-06-01,12358.64536897057,12777.318561869,11954.742548209688
2030-07-01,12460.278478136843,12882.533037905707,12052.920637552184
2030-08-01,12547.986209431288,12973.420932466655,12137.5603985643
2030-09-01,12553.702338526437,12979.118277331745,12143.294649200629
2030-10-01,12682.962560616315,13112.810931810835,12268.27881068954
2030-11-01,12712.262308968107,13142.883927758585,12296.832590848357
2030-12-01,12759.391525195011,13192.343849483768,12341.713326539402
2031-01-01,12781.348970936604,13214.876552450023,12363.115809556737
2031-02-01,12633.767906452465,13061.754117066694,12220.880621940356
2031-03-01,12695.413418743636,13125.942142448286,12280.073318463854
2031-04-01,12614.595384810866,13042.119374858044,12202.154014185797
2031-05-01,12656.806422909394,13085.39263189003,12243.340307374054
2031-06-01,12599.594934394609,13026.23282555217,12188.008401975232
2031-07-01,12709.889128682536,13140.399261374356,12294.566963543219
2031-08-01,12783.770034634867,13216.952070092857,12365.870228790674
2031-09-01,12796.677518575125,13230.115858409892,12378.530450516608
2031-10-01,12931.284611186407,13369.342212300055,12508.681244773905
2031-11-01,12955.251511015764,13393.900322406302,12532.077791634527
2031-12-01,13010.429678519075,13451.666620855844,12584.759134866754
2032-01-01,12936.752100369016,13375.087378560094,12513.880853049073
2032-02-01,12815.585142632905,13249.326543563953,12397.145705170933
2032-03-01,12854.31479504251,13289.753934829805,12434.237513255692
2032-04-01,12783.703926991597,13216.506788388775,12366.169918326012
2032-05-01,12805.170221397337,13238.32354628491,12387.298113243307
2032-06-01,12767.361464919011,13199.259912740179,12350.699963021667
2032-07-01,12862.467707581629,13297.693502249651,12442.596244311333
2032-08-01,12949.860851309868,13388.230466305598,12526.95647855345
2032-09-01,12962.564522389574,13401.212012242897,12539.39207792304
2032-10-01,13085.512628299413,13528.35789021333,12658.290504978477
2032-11-01,13120.430016793467,13564.28908157129,12692.229856561231
2032-12-01,13182.035358466552,13628.67474025899,12751.152968027412
2033-01-01,13106.172674697904,13549.761699901519,12678.233027313372
2033-02-01,12962.44471746388,13400.690204419461,12539.660093634317
2033-03-01,13028.732331528257,13469.630865982546,12603.388257066274
2033-04-01,12939.286342512127,13376.882711219103,12517.127936687597
2033-05-01,12971.968920196612,13410.321806669475,12549.080685797482
2033-06-01,12931.5947888054,13368.5574815344,12510.047703503162
2033-07-01,13016.003002461048,13455.90686557734,12591.618508325586
2033-08-01,13117.091655462194,13560.612528337137,12689.217756060243
2033-09-01,13129.558836233271,13573.337674078579,12701.436072607488
2033-10-01,13249.239507836295,13697.155004507578,12817.126022576844
2033-11-01,13290.31781273503,13739.41428934739,12857.065011327439
2033-12-01,13351.777258232534,13803.66552929968,12915.831154090496
2034-01-01,13274.046186584785,13723.034885904135,12840.89736019494
2034-02-01,13124.299614441676,13567.75902557015,12696.485008477153
2034-03-01,13195.566212144995,13641.818225530418,12765.057524142316
2034-04-01,13098.725694835075,13541.414884956266,12671.654137249878
2034-05-01,13139.392687310063,13583.105126053459,12711.333980292186
2034-06-01,13101.268504458028,13543.657711097476,12674.48634723692
2034-07-01,13184.54294740943,13629.84231888855,12754.953293057955
2034-08-01,13284.062697931791,13732.92561463775,12851.035216670347
2034-09-01,13299.257786964532,13748.48778094091,12865.876178552187
2034-10-01,13426.334010501274,13879.936383496917,12988.734276234989
2034-11-01,13468.861161907134,13923.739443928256,13030.030531411603
2034-12-01,13519.58217899675,13976.800308456819,13078.49424854323
2035-01-01,13445.799543578238,13900.478242764817,13007.161454834159
2035-02-01,13297.685360710422,13746.939265701862,12864.280684839749
2035-03-01,13353.689302037372,13805.178851181587,12918.127853307009
2035-04-01,13266.77588792937,13715.027525562853,12834.338120425182
2035-05-01,13289.111617931427,13737.783448595024,12856.268481387599
2035-06-01,13255.149219985342,13702.640288604023,12823.44518938065
2035-07-01,13346.503590894188,13797.160091508431,12911.745801573585
2035-08-01,13445.769355158447,13899.979812643498,13007.582989016279
2035-09-01,13455.440238008718,13909.835470112128,13017.075615912197
2035-10-01,13593.45166457095,14052.604188668785,13150.497582990702
2035-11-01,13634.359680760768,14094.746391402521,13190.21495350535
2035-12-01,13687.109510318202,14149.888569347548,13240.656834337187
