fuel,co2_intensity,upstream_co2_intensity
barranquilla_gas,0,0.0
barranquilla_fo6,0,0.0
cartagena_gas,0,0.0
cartagena_fo6,0,0.0
guajira_gas,0,0.0
guajira_car,0,0.0
flores_gas,0,0.0
flores_fo2,0,0.0
paipa_car,0,0.0
tasajero_car,0,0.0
zipa_car,0,0.0
fuel_oil,0,0.0
termodorada_gas,0,0.0
termodorada_fo2,0,0.0
termosierra_gas,0,0.0
termosierra_fo2,0,0.0
merielectrica_gas,0,0.0
NONE,0,0.0
termovalle_gas,0,0.0
termovalle_cmp2,0,0.0
termocentro_gas,0,0.0
termocentro_ja1,0,0.0
candelaria_fo2,0,0.0
termoyopal_gas,0,0.0
gecelca_car,0,0.0
Solo_GLP,0,0.0
Caribe_GLP,0,0.0
Centro_gas,0,0.0
gas_interior,0,0.0
tesoro_gas,0,0.0
CrudoRub,0,0.0
